水泥成分,,,,,水泥强度,单方水泥用量,用水量,水灰比,,,粗骨料,,细骨料,粉煤灰成分,,,,,一级粉煤灰用量,二级粉煤灰用量,矿渣成分,,,,,矿渣用量,石灰石粉,硅灰比表面积,硅灰用量,28天强度,碳化开始时间,碳化持续时间,碳化深度
C-Ca,C-Si,C-Al,C-Fe,C-Mg,strength,cement,water,ratio,waterloss,gasml,bigagregate,mosu_sm,smallagregate,FA-Ca,FA-Si,FA-Al,FA-Fe,FA-Mg,FA-1,FA-2,Slag-Ca,Slag-Si,Slag-Al,Slag-Fe,Slag-Mg,Slag,Ca-powder,Si-surface,Si-powder,strength28d,begintime,holdtime,deepth
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,112.5,162,1.44,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,337.5,0,,,49.7,28,28,14.69
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,382.5,162,0.42,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,67.5,45,,,45.9,28,28,19.37
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,292.5,162,0.55,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,157.5,45,,,47.4,28,28,18.7
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,202.5,162,0.8,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,247.5,45,,,38.7,28,28,22.05
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,112.5,162,1.44,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,337.5,45,,,40.1,28,28,21.22
64.4,17.43,6.5,3.57,2.55,,238,176,0.74,,,916,2.89,812,2.58,64.88,20.56,6.06,0.8,34,,40.71,30.61,13.98,0.32,6.43,68,,,,33.5,28,7,1.18
64.4,17.43,6.5,3.57,2.55,,238,176,0.74,,,916,2.89,835,2.58,64.88,20.56,6.06,0.8,34,,40.71,30.61,13.98,0.32,6.43,68,,,,32.2,28,7,0.81
64.4,17.43,6.5,3.57,2.55,,238,176,0.74,,,916,2.89,859,2.58,64.88,20.56,6.06,0.8,34,,40.71,30.61,13.98,0.32,6.43,68,,,,32.3,28,7,0.78
64.4,17.43,6.5,3.57,2.55,,238,176,0.74,,,916,2.89,882,2.58,64.88,20.56,6.06,0.8,34,,40.71,30.61,13.98,0.32,6.43,68,,,,33.1,28,7,0.62
64.4,17.43,6.5,3.57,2.55,,238,176,0.74,,,916,2.89,906,2.58,64.88,20.56,6.06,0.8,34,,40.71,30.61,13.98,0.32,6.43,68,,,,34.3,28,7,0.53
64.4,17.43,6.5,3.57,2.55,,238,176,0.74,,,916,2.89,812,2.58,64.88,20.56,6.06,0.8,34,,40.71,30.61,13.98,0.32,6.43,68,,,,33.5,28,28,1.17
64.4,17.43,6.5,3.57,2.55,,238,176,0.74,,,916,2.89,835,2.58,64.88,20.56,6.06,0.8,34,,40.71,30.61,13.98,0.32,6.43,68,,,,32.2,28,28,0.95
64.4,17.43,6.5,3.57,2.55,,238,176,0.74,,,916,2.89,859,2.58,64.88,20.56,6.06,0.8,34,,40.71,30.61,13.98,0.32,6.43,68,,,,32.3,28,28,0.83
64.4,17.43,6.5,3.57,2.55,,238,176,0.74,,,916,2.89,882,2.58,64.88,20.56,6.06,0.8,34,,40.71,30.61,13.98,0.32,6.43,68,,,,33.1,28,28,0.77
64.4,17.43,6.5,3.57,2.55,,238,176,0.74,,,916,2.89,906,2.58,64.88,20.56,6.06,0.8,34,,40.71,30.61,13.98,0.32,6.43,68,,,,34.3,28,28,0.69
64.4,17.43,6.5,3.57,2.55,,238,176,0.74,,,916,2.89,812,2.58,64.88,20.56,6.06,0.8,34,,40.71,30.61,13.98,0.32,6.43,68,,,,33.5,28,56,1.27
64.4,17.43,6.5,3.57,2.55,,238,176,0.74,,,916,2.89,835,2.58,64.88,20.56,6.06,0.8,34,,40.71,30.61,13.98,0.32,6.43,68,,,,32.2,28,56,1.071
64.4,17.43,6.5,3.57,2.55,,238,176,0.74,,,916,2.89,859,2.58,64.88,20.56,6.06,0.8,34,,40.71,30.61,13.98,0.32,6.43,68,,,,32.3,28,56,1.01
