水泥成分,,,,,水泥强度,单方水泥用量,用水量,水灰比,,,粗骨料,,细骨料,粉煤灰成分,,,,,一级粉煤灰用量,二级粉煤灰用量,矿渣成分,,,,,矿渣用量,石灰石粉,硅灰比表面积,硅灰用量,28天强度,碳化开始时间,碳化持续时间,碳化深度
C-Ca,C-Si,C-Al,C-Fe,C-Mg,strength,cement,water,ratio,waterloss,gasml,bigagregate,mosu_sm,smallagregate,FA-Ca,FA-Si,FA-Al,FA-Fe,FA-Mg,FA-1,FA-2,Slag-Ca,Slag-Si,Slag-Al,Slag-Fe,Slag-Mg,Slag,Ca-powder,Si-surface,Si-powder,strength28d,begintime,holdtime,deepth
65.9,21.1,4.3,2.5,1.5,42.5ordinary Portland cement,190,209,1.1,,,1080,,660,2.7,55.2,26.9,5.6,1,0,,37.4,31,15,0.3,9.4,190,,,,36.4,28,14,13.87
65.9,21.1,4.3,2.5,1.5,42.5ordinary Portland cement,190,209,1.1,,,1080,,660,2.7,55.2,26.9,5.6,1,190,,37.4,31,15,0.3,9.4,0,,,,31.7,28,28,20.73
65.9,21.1,4.3,2.5,1.5,42.5ordinary Portland cement,190,209,1.1,,,1080,,660,2.7,55.2,26.9,5.6,1,152,,37.4,31,15,0.3,9.4,38,,,,33.2,28,28,19.83
65.9,21.1,4.3,2.5,1.5,42.5ordinary Portland cement,190,209,1.1,,,1080,,660,2.7,55.2,26.9,5.6,1,114,,37.4,31,15,0.3,9.4,76,,,,34.4,28,28,19.1
65.9,21.1,4.3,2.5,1.5,42.5ordinary Portland cement,190,209,1.1,,,1080,,660,2.7,55.2,26.9,5.6,1,76,,37.4,31,15,0.3,9.4,114,,,,34.8,28,28,18.04
65.9,21.1,4.3,2.5,1.5,42.5ordinary Portland cement,190,209,1.1,,,1080,,660,2.7,55.2,26.9,5.6,1,38,,37.4,31,15,0.3,9.4,152,,,,36.3,28,28,16.97
65.9,21.1,4.3,2.5,1.5,42.5ordinary Portland cement,190,209,1.1,,,1080,,660,2.7,55.2,26.9,5.6,1,0,,37.4,31,15,0.3,9.4,190,,,,36.4,28,28,16.57
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,388.8,173,0.44,,,1124,,648,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,14,8.15
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,388.8,173,0.44,,,1124,,583.62,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,14,2.25
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,345.8,173,0.5,,,1124,,648.46,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,14,
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,388.8,173,0.44,,,1124,,551.2,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,14,
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,323.8,173,0.53,,,1124,,648.46,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,14,
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,388.8,173,0.44,,,1124,,583.62,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,14,5.35
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,323.8,173,0.53,,,1124,,551.2,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,14,
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,388.8,173,0.44,,,1124,,648,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,28,10.39
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,388.8,173,0.44,,,1124,,583.62,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,28,4.29
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,345.8,173,0.5,,,1124,,648.46,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,28,
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,388.8,173,0.44,,,1124,,551.2,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,28,
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,323.8,173,0.53,,,1124,,648.46,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,28,
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,388.8,173,0.44,,,1124,,583.62,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,28,8.49
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,323.8,173,0.53,,,1124,,551.2,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,28,
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,388.8,173,0.44,,,1124,,648,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,56,20.35
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,388.8,173,0.44,,,1124,,583.62,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,56,11.35
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,345.8,173,0.5,,,1124,,648.46,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,56,
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,388.8,173,0.44,,,1124,,551.2,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,56,
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,323.8,173,0.53,,,1124,,648.46,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,56,
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,388.8,173,0.44,,,1124,,583.62,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,56,16.2
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,323.8,173,0.53,,,1124,,551.2,1.58,56.32,30.87,4.94,0.7,43.2,,,,,,,,,,,,28,56,
59,22.5,7,3.3,2.5,Ordinary Portland cement 42.5 (P.O42.5),373,205,0.55,,,1166,,656,2.7,54.5,32.8,4.1,0.75,,,,,,,,,,,,,28,7,9.52
59,22.5,7,3.3,2.5,Ordinary Portland cement 42.5 (P.O42.5),317,205,0.65,,,1166,,656,2.7,54.5,32.8,4.1,0.75,56,,,,,,,,,,,,28,7,11.43
59,22.5,7,3.3,2.5,Ordinary Portland cement 42.5 (P.O42.5),261,205,0.79,,,1166,,656,2.7,54.5,32.8,4.1,0.75,112,,,,,,,,,,,,28,7,15.59
59,22.5,7,3.3,2.5,Ordinary Portland cement 42.5 (P.O42.5),205,205,1,,,1166,,656,2.7,54.5,32.8,4.1,0.75,168,,,,,,,,,,,,28,7,23.07
59,22.5,7,3.3,2.5,Ordinary Portland cement 42.5 (P.O42.5),373,205,0.55,,,1166,,656,2.7,54.5,32.8,4.1,0.75,,,,,,,,,,,,,28,14,11.25
59,22.5,7,3.3,2.5,Ordinary Portland cement 42.5 (P.O42.5),317,205,0.65,,,1166,,656,2.7,54.5,32.8,4.1,0.75,56,,,,,,,,,,,,28,14,14.09
59,22.5,7,3.3,2.5,Ordinary Portland cement 42.5 (P.O42.5),261,205,0.79,,,1166,,656,2.7,54.5,32.8,4.1,0.75,112,,,,,,,,,,,,28,14,20.3
59,22.5,7,3.3,2.5,Ordinary Portland cement 42.5 (P.O42.5),205,205,1,,,1166,,656,,,,,,168,,,,,,,,,,,,28,14,23.07
62,20.8,6.3,3.2,3.3,,499,184,0.37,,,965,,618,,,,,,,,42.3,34.1,16.1,0.4,4.1,,,,,51.01,28,28,1.33
62,20.8,6.3,3.2,3.3,,499,184,0.37,,,965,,618,,,,,,,,42.3,34.1,16.1,0.4,4.1,,,,,59.16,28,28,0.77
62,20.8,6.3,3.2,3.3,,499,184,0.37,,,965,,618,,,,,,,,42.3,34.1,16.1,0.4,4.1,,,,,52.08,28,28,0.42
62,20.8,6.3,3.2,3.3,,499,184,0.37,,,965,,618,,,,,,,,42.3,34.1,16.1,0.4,4.1,,,,,49.63,28,28,0.34
62,20.8,6.3,3.2,3.3,,349.3,184,0.53,,,965,,618,,,,,,,,42.3,34.1,16.1,0.4,4.1,149.7,,,,58.29,28,28,2.29
62,20.8,6.3,3.2,3.3,,349.3,184,0.53,,,965,,618,,,,,,,,42.3,34.1,16.1,0.4,4.1,149.7,,,,54.22,28,28,1.61
62,20.8,6.3,3.2,3.3,,349.3,184,0.53,,,965,,618,,,,,,,,42.3,34.1,16.1,0.4,4.1,149.7,,,,47.02,28,28,0.79
62,20.8,6.3,3.2,3.3,,349.3,184,0.53,,,965,,618,,,,,,,,42.3,34.1,16.1,0.4,4.1,149.7,,,,60.46,28,28,0.67
62,20.8,6.3,3.2,3.3,,249.5,184,0.74,,,965,,618,,,,,,,,42.3,34.1,16.1,0.4,4.1,249.5,,,,54.24,28,28,3.17
62,20.8,6.3,3.2,3.3,,249.5,184,0.74,,,965,,618,,,,,,,,42.3,34.1,16.1,0.4,4.1,249.5,,,,42.4,28,28,2.95
62,20.8,6.3,3.2,3.3,,249.5,184,0.74,,,965,,618,,,,,,,,42.3,34.1,16.1,0.4,4.1,249.5,,,,54.77,28,28,2.04
62,20.8,6.3,3.2,3.3,,249.5,184,0.74,,,965,,618,,,,,,,,42.3,34.1,16.1,0.4,4.1,249.5,,,,52.32,28,28,1.49
62.9,26.55,7.77,3.62,2.68,The Portland cement  the PO 42.5 type,330,165,0.5,,,1056,,651,,,,,,,,34.65,31.35,18.65,0.57,9.31,0,,,,45.2,28,14,6.49
62.9,26.55,7.77,3.62,2.68,The Portland cement  the PO 42.5 type,0,92.4,,,,1056,,651,,,,,,,,34.65,31.35,18.65,0.57,9.31,132,,,,49.6,28,14,16.73
62.9,26.55,7.77,3.62,2.68,The Portland cement  the PO 42.5 type,0,133.3,,,,1056,,651,,,,,,,,34.65,31.35,18.65,0.57,9.31,132,,,,46.7,28,14,15.13
62.9,26.55,7.77,3.62,2.68,The Portland cement  the PO 42.5 type,0,0,0,,,1056,,651,,,,,,,,34.65,31.35,18.65,0.57,9.31,132,,,,18.5,28,14,18.3
62.9,26.55,7.77,3.62,2.68,The Portland cement  the PO 42.5 type,330,165,0.5,,,1056,,651,,,,,,,,34.65,31.35,18.65,0.57,9.31,0,,,,45.2,28,28,12.94
62.9,26.55,7.77,3.62,2.68,The Portland cement  the PO 42.5 type,0,92.4,,,,1056,,651,,,,,,,,34.65,31.35,18.65,0.57,9.31,132,,,,49.6,28,28,21.51
62.9,26.55,7.77,3.62,2.68,The Portland cement  the PO 42.5 type,0,133.3,,,,1056,,651,,,,,,,,34.65,31.35,18.65,0.57,9.31,132,,,,46.7,28,28,19.01
62.9,26.55,7.77,3.62,2.68,The Portland cement  the PO 42.5 type,0,0,0,,,1056,,651,,,,,,,,34.65,31.35,18.65,0.57,9.31,132,,,,18.5,28,28,22.63
62.9,26.55,7.77,3.62,2.68,The Portland cement  the PO 42.5 type,330,165,0.5,,,1056,,651,,,,,,,,34.65,31.35,18.65,0.57,9.31,0,,,,45.2,28,60,15.27
62.9,26.55,7.77,3.62,2.68,The Portland cement  the PO 42.5 type,0,92.4,,,,1056,,651,,,,,,,,34.65,31.35,18.65,0.57,9.31,132,,,,49.6,28,60,28.13
62.9,26.55,7.77,3.62,2.68,The Portland cement  the PO 42.5 type,0,133.3,,,,1056,,651,,,,,,,,34.65,31.35,18.65,0.57,9.31,132,,,,46.7,28,60,23.85
62.9,26.55,7.77,3.62,2.68,The Portland cement  the PO 42.5 type,0,0,0,,,1056,,651,,,,,,,,34.65,31.35,18.65,0.57,9.31,132,,,,18.5,28,60,29.36
66.12,18.14,4.48,4.31,1.42,,0,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,200,,,,,,,,,,,37.82,28,28,9.14
66.12,18.14,4.48,4.31,1.42,,20,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,190,,,,,,,,,,,39.89,28,28,7.34
66.12,18.14,4.48,4.31,1.42,,40,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,180,,,,,,,,,,,40.13,28,28,5.85
66.12,18.14,4.48,4.31,1.42,,60,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,170,,,,,,,,,,,45.74,28,28,4.22
66.12,18.14,4.48,4.31,1.42,,80,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,160,,,,,,,,,,,39.63,28,28,4.62
66.12,18.14,4.48,4.31,1.42,,100,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,150,,,,,,,,,,,37.33,28,28,5.65
66.12,18.14,4.48,4.31,1.42,,120,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,140,,,,,,,,,,,34.75,28,28,7.17
66.12,18.14,4.48,4.31,1.42,,0,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,200,,,,,,,,,,,37.82,28,56,10.32
66.12,18.14,4.48,4.31,1.42,,20,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,190,,,,,,,,,,,39.89,28,56,8.45
66.12,18.14,4.48,4.31,1.42,,40,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,180,,,,,,,,,,,40.13,28,56,6.75
66.12,18.14,4.48,4.31,1.42,,60,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,170,,,,,,,,,,,45.74,28,56,4.81
66.12,18.14,4.48,4.31,1.42,,80,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,160,,,,,,,,,,,39.63,28,56,5.21
66.12,18.14,4.48,4.31,1.42,,100,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,150,,,,,,,,,,,37.33,28,56,6.27
66.12,18.14,4.48,4.31,1.42,,120,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,140,,,,,,,,,,,34.75,28,56,8.07
66.12,18.14,4.48,4.31,1.42,,0,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,200,,,,,,,,,,,37.82,28,90,11.5
66.12,18.14,4.48,4.31,1.42,,20,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,190,,,,,,,,,,,39.89,28,90,9.39
66.12,18.14,4.48,4.31,1.42,,40,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,180,,,,,,,,,,,40.13,28,90,7.34
66.12,18.14,4.48,4.31,1.42,,60,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,170,,,,,,,,,,,45.74,28,90,5.37
66.12,18.14,4.48,4.31,1.42,,80,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,160,,,,,,,,,,,39.63,28,90,5.87
66.12,18.14,4.48,4.31,1.42,,100,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,150,,,,,,,,,,,37.33,28,90,6.97
66.12,18.14,4.48,4.31,1.42,,120,,,,,1041,2.9,659,1.97,51.81,29.5,14.71,0.85,140,,,,,,,,,,,34.75,28,90,9.04
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,172,0.572,,,812,,734,1.46,51.67,31.32,5.26,1.73,200,,,,,,,,,,0,48.4,28,7,4.6
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,186,0.62,,,763,,689,12.71,35.64,32.19,6.06,0.6,200,,,,,,,,,,50,54.6,28,7,5.4
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,185,0.618,,,768,,694,1.46,51.67,31.32,5.26,1.73,200,,,,,,,,,,0,53.3,28,7,5.3
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,183,0.611,,,752,,679,12.71,35.64,32.19,6.06,0.6,200,,,,,,,,,,0,53.4,28,7,6.3
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,175,0.583,,,781,,705,1.46,51.67,31.32,5.26,1.73,200,,,,,,,,,,0,55.2,28,7,4.3
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,183,0.61,,,765,,691,12.71,35.64,32.19,6.06,0.6,200,,,,,,,,,,0,49.9,28,7,6.8
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,201,0.671,,,744,,672,1.46,51.67,31.32,5.26,1.73,125,,,,,,,,,,0,48.7,28,7,9.3
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,172,0.572,,,812,,734,1.46,51.67,31.32,5.26,1.73,200,,,,,,,,,,0,48.4,28,14,6.5
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,186,0.62,,,763,,689,12.71,35.64,32.19,6.06,0.6,200,,,,,,,,,,50,54.6,28,14,7.7
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,185,0.618,,,768,,694,1.46,51.67,31.32,5.26,1.73,200,,,,,,,,,,0,53.3,28,14,6.7
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,183,0.611,,,752,,679,12.71,35.64,32.19,6.06,0.6,200,,,,,,,,,,0,53.4,28,14,6.8
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,175,0.583,,,781,,705,1.46,51.67,31.32,5.26,1.73,200,,,,,,,,,,0,55.2,28,14,6.7
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,183,0.61,,,765,,691,12.71,35.64,32.19,6.06,0.6,200,,,,,,,,,,0,49.9,28,14,10.9
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,201,0.671,,,744,,672,1.46,51.67,31.32,5.26,1.73,125,,,,,,,,,,0,48.7,28,14,11.8
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,172,0.572,,,812,,734,1.46,51.67,31.32,5.26,1.73,200,,,,,,,,,,0,48.4,28,28,8.8
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,186,0.62,,,763,,689,12.71,35.64,32.19,6.06,0.6,200,,,,,,,,,,50,54.6,28,28,9
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,185,0.618,,,768,,694,1.46,51.67,31.32,5.26,1.73,200,,,,,,,,,,0,53.3,28,28,9.4
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,183,0.611,,,752,,679,12.71,35.64,32.19,6.06,0.6,200,,,,,,,,,,0,53.4,28,28,10.4
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,175,0.583,,,781,,705,1.46,51.67,31.32,5.26,1.73,200,,,,,,,,,,0,55.2,28,28,9.7
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,183,0.61,,,765,,691,12.71,35.64,32.19,6.06,0.6,200,,,,,,,,,,0,49.9,28,28,14.8
53.86,30.16,6.16,1.87,3.39, cement CEM III/A 42,300,201,0.671,,,744,,672,1.46,51.67,31.32,5.26,1.73,125,,,,,,,,,,0,48.7,28,28,16.8
63.25,20.98,4.73,3.52,2.81, PIII 42.5,357.9,131.6,0.35,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,0,,,,49.5,28,0,0
63.25,20.98,4.73,3.52,2.81, PIII 42.5,350,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,0,,,,485,28,0,0
63.25,20.98,4.73,3.52,2.81, PIII 42.5,327.5,180,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,0,,,,36,28,0,0
63.25,20.98,4.73,3.52,2.81, PIII 42.5,315,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,10,,37.36,31.01,14.95,0.31,9.44,0,,,,40.7,28,0,0
63.25,20.98,4.73,3.52,2.81, PIII 42.5,280,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,20,,37.36,31.01,14.95,0.31,9.44,0,,,,41,28,0,0
63.25,20.98,4.73,3.52,2.81, PIII 42.5,245,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,30,,37.36,31.01,14.95,0.31,9.44,0,,,,38.4,28,0,0
63.25,20.98,4.73,3.52,2.81, PIII 42.5,262.5,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,25,,,,39.3,28,0,0
63.25,20.98,4.73,3.52,2.81, PIII 42.5,227.5,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,35,,,,47.2,28,0,0
63.25,20.98,4.73,3.52,2.81, PIII 42.5,175,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,55,,,,54.9,28,0,0
63.25,20.98,4.73,3.52,2.81, PIII 42.5,357.9,131.6,0.35,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,0,,,,49.5,28,10,0.2
63.25,20.98,4.73,3.52,2.81, PIII 42.5,350,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,0,,,,485,28,10,1.2
63.25,20.98,4.73,3.52,2.81, PIII 42.5,327.5,180,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,0,,,,36,28,10,4
63.25,20.98,4.73,3.52,2.81, PIII 42.5,315,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,10,,37.36,31.01,14.95,0.31,9.44,0,,,,40.7,28,10,1.7
63.25,20.98,4.73,3.52,2.81, PIII 42.5,280,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,20,,37.36,31.01,14.95,0.31,9.44,0,,,,41,28,10,2.7
63.25,20.98,4.73,3.52,2.81, PIII 42.5,245,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,30,,37.36,31.01,14.95,0.31,9.44,0,,,,38.4,28,10,13.6
63.25,20.98,4.73,3.52,2.81, PIII 42.5,262.5,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,25,,,,39.3,28,10,0.8
63.25,20.98,4.73,3.52,2.81, PIII 42.5,227.5,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,35,,,,47.2,28,10,0.9
63.25,20.98,4.73,3.52,2.81, PIII 42.5,175,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,55,,,,54.9,28,10,1.6
63.25,20.98,4.73,3.52,2.81, PIII 42.5,357.9,131.6,0.35,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,0,,,,49.5,28,20,0
63.25,20.98,4.73,3.52,2.81, PIII 42.5,350,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,0,,,,485,28,20,2.5
63.25,20.98,4.73,3.52,2.81, PIII 42.5,327.5,180,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,0,,,,36,28,20,
63.25,20.98,4.73,3.52,2.81, PIII 42.5,315,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,10,,37.36,31.01,14.95,0.31,9.44,0,,,,40.7,28,20,
63.25,20.98,4.73,3.52,2.81, PIII 42.5,280,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,20,,37.36,31.01,14.95,0.31,9.44,0,,,,41,28,20,
63.25,20.98,4.73,3.52,2.81, PIII 42.5,245,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,30,,37.36,31.01,14.95,0.31,9.44,0,,,,38.4,28,20,16.3
63.25,20.98,4.73,3.52,2.81, PIII 42.5,262.5,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,25,,,,39.3,28,20,
63.25,20.98,4.73,3.52,2.81, PIII 42.5,227.5,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,35,,,,47.2,28,20,
63.25,20.98,4.73,3.52,2.81, PIII 42.5,175,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,55,,,,54.9,28,20,3.4
63.25,20.98,4.73,3.52,2.81, PIII 42.5,357.9,131.6,0.35,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,0,,,,49.5,28,240,
63.25,20.98,4.73,3.52,2.81, PIII 42.5,350,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,0,,,,485,28,240,
63.25,20.98,4.73,3.52,2.81, PIII 42.5,327.5,180,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,0,,,,36,28,240,0
63.25,20.98,4.73,3.52,2.81, PIII 42.5,315,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,10,,37.36,31.01,14.95,0.31,9.44,0,,,,40.7,28,240,
63.25,20.98,4.73,3.52,2.81, PIII 42.5,280,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,20,,37.36,31.01,14.95,0.31,9.44,0,,,,41,28,240,
63.25,20.98,4.73,3.52,2.81, PIII 42.5,245,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,30,,37.36,31.01,14.95,0.31,9.44,0,,,,38.4,28,240,4
63.25,20.98,4.73,3.52,2.81, PIII 42.5,262.5,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,25,,,,39.3,28,240,
63.25,20.98,4.73,3.52,2.81, PIII 42.5,227.5,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,35,,,,47.2,28,240,
63.25,20.98,4.73,3.52,2.81, PIII 42.5,175,157.5,0.45,,,1165.5,,777,2.71,55.25,26.86,5.58,1.03,0,,37.36,31.01,14.95,0.31,9.44,55,,,,54.9,28,240,2
63.7,20.3,4.83,3.25,3.28, PII42.5 OPC,460,170,0.37,,,1114,,684,7.5,49.1,32.5,4.78,0.8,0,,,,,,,,,,,56.3,28,7,3.88
63.7,20.3,4.83,3.25,3.28, PII42.5 OPC,322,170,0.37,,,1114,,684,7.5,49.1,32.5,4.78,0.8,138,,,,,,,,,,,54.4,28,7,3.68
63.7,20.3,4.83,3.25,3.28, PII42.5 OPC,184,170,0.37,,,1114,,684,7.5,49.1,32.5,4.78,0.8,276,,,,,,,,,,,37.5,28,7,3.6
63.7,20.3,4.83,3.25,3.28, PII42.5 OPC,390,175,0.45,,,1135,,695,7.5,49.1,32.5,4.78,0.8,0,,,,,,,,,,,51.9,28,7,2.95
63.7,20.3,4.83,3.25,3.28, PII42.5 OPC,273,175,0.45,,,1135,,695,7.5,49.1,32.5,4.78,0.8,117,,,,,,,,,,,50,28,7,2.65
63.7,20.3,4.83,3.25,3.28, PII42.5 OPC,156,175,0.45,,,1135,,695,7.5,49.1,32.5,4.78,0.8,234,,,,,,,,,,,35.6,28,7,2.81
